retriever,k,recall,mrr,ndcg
baseline_tfidf,5,0.9466666666666667,0.9466666666666667,0.9463990692971607
baseline_tfidf,8,0.95,0.9472222222222221,0.9475864265875206
baseline_tfidf,10,0.95,0.9472222222222221,0.9475864265875206
fielded_tfidf,5,0.9966666666666667,1.0,0.997153383915597
fielded_tfidf,8,1.0,1.0,0.9986094334943848
fielded_tfidf,10,1.0,1.0,0.9986094334943848
bm25,5,0.9983333333333333,0.9983333333333333,0.9974802564877897
bm25,8,1.0,0.9983333333333333,0.9982082812771835
bm25,10,1.0,0.9983333333333333,0.9982082812771835
ensemble_sparse,5,0.9983333333333333,1.0,0.9987104906425517
ensemble_sparse,8,1.0,1.0,0.9994385154319453
ensemble_sparse,10,1.0,1.0,0.9994385154319453
